,Home_Points,Away_Points
,sum,sum
Home_Team,,
1860 München,208,166
AC Monza,27,15
ADO Den Haag,261,273
AFC Bournemouth,169,151
AGOVV Apeldoorn,216,102
AS Gubbio 1910,25,31
AZ Alkmaar,387,165
Academico Viseu,280,154
Académica,196,160
Ajaccio,350,245
Ajax,492,69
Alavés,231,180
Albacete,221,215
AlbinoLeffe,75,93
Alcorcón,386,233
Alcoyano,25,31
Alemannia Aachen,70,67
Almere City,136,250
Almería,380,263
Amiens SC,145,139
Ancona,39,18
Angers SCO,353,239
Arles,164,137
Arminia Bielefeld,214,196
Arouca,85,100
Arsenal,481,145
Ascoli,288,252
Aston Villa,200,254
Atalanta,389,230
Athletic,402,213
Atlético,505,124
Atlético CP,264,0
Auxerre,333,252
Avellino,177,108
B. Dortmund,438,126
B. Leverkusen,371,182
B. Mönchengladbach,372,186
BV Veendam ,0,102
Barcelona,591,57
Barcelona B,184,166
Barnsley,38,20
Bastia,236,128
Bayern München,507,69
Beira Mar SC,49,427
Belenenses,361,274
Benevento,153,105
Benfica,492,57
Benfica II,480,84
Bilbao Ath.,24,33
Birmingham City,80,77
Blackburn Rovers,108,102
Blackpool,20,32
Boavista,161,161
Bologna,304,304
Bolton Wanderers,75,81
Boulogne,74,80
Bourg-Péronnas,82,76
Braunschweig,225,135
Brentford,37,13
Brescia,376,274
Brighton & Hove Albion,88,103
Bristol City,24,36
Burnley,173,185
Béziers,18,30
CA Bastia,15,33
CD Castellón,48,60
CD Guadalajara,57,60
CD Santa Clara,382,301
Caen,323,281
Cagliari,328,298
Calcio Foggia,62,41
Calcio Portogruaro-Summaga,24,33
Cambuur,209,113
Cardiff City,66,99
Carpi,175,145
Catania,204,111
Celta,359,266
Cesena,281,209
Chambly,33,54
Chateauroux,253,241
Chaves,160,247
Chelsea,490,136
Chievo,300,306
Cittadella,332,269
Clermont,355,229
Como,19,34
Cova Piedade,0,198
Coventry City,31,22
Cremonese,110,89
Creteil,73,76
Crotone,394,247
Crystal Palace,178,238
Cultural Leonesa,35,20
Cádiz,201,114
Córdoba,328,238
Darmstadt 98,172,142
De Graafschap,365,113
Den Bosch,34,136
Deportivo,328,256
Derby County,24,33
Desportivo Aves,439,361
Dijon FCO,353,245
Dordrecht,195,291
Dunkerque,20,20
Dynamo Dresden,167,152
Eibar,216,198
Eintracht Frankfurt,332,212
Elche,349,241
Emmen,131,350
Empoli,396,234
Energie Cottbus,134,98
Erzgebirge Aue,264,192
Espanyol,360,261
Estoril,361,247
Everton,401,212
Evian Thonon Gaillard,162,150
Excelsior,295,271
Extremadura,47,71
FC Augsburg,293,254
FC Cartagena,121,97
FC Eindhoven,288,174
FC St. Pauli,318,231
FC Volendam,38,140
FSV Frankfurt,155,167
Famalicão,153,39
Farense,325,22
Feirense,174,222
Feyenoord,440,116
Fiorentina,370,235
Fortuna Düsseldorf,335,215
Fortuna Sittard,176,176
Frosinone,277,205
Fuenlabrada,54,42
Fulham,175,187
Gallipoli ,22,37
Gazélec Ajaccio,158,149
Genoa,333,279
Getafe,363,258
Gil Vicente,467,179
Gimnàstic Tarragona,191,206
Girona,417,243
Girondins Bordeaux,370,220
Go Ahead Eagles,357,192
Granada,336,246
Grenoble,122,107
Greuther Fürth,318,240
Groningen,343,199
Grosseto,121,97
Guingamp,307,226
HFC Haarlem ,0,114
Hamburger SV,297,255
Hannover 96,323,236
Hansa Rostock,40,52
Heerenveen,300,237
Heidenheim,205,115
Hellas Verona,314,212
Helmond Sport,29,29
Heracles,328,226
Hertha BSC,297,258
Hoffenheim,310,235
Holstein Kiel,104,65
Huddersfield Town,62,101
Huesca,313,229
Hull City,97,112
Hércules,164,125
Ingolstadt 04,196,217
Inter,452,167
Istres,148,106
Jahn Regensburg,112,115
Jong AZ,29,29
Jong Ajax,114,102
Jong PSV,29,131
Jong Twente,114,0
Jong Utrecht,0,102
Juve Stabia,110,110
Juventus,550,91
Kaiserslautern,242,167
Karlsruher SC,215,185
Köln,283,259
Las Palmas,410,242
Latina,118,103
Lazio,422,203
Le Havre,389,197
Le Mans,128,119
Lecce,169,136
Leeds United,21,21
Leganés,222,144
Leicester,215,143
Leixões,339,93
Lens,350,242
Levante,378,243
Lille,435,174
Liverpool,476,146
Livorno,235,256
Llagostera,69,48
Lorca FC,27,30
Lorient,363,231
Lugo,294,207
Luton Town,27,24
MSV Duisburg,162,168
MVV Maastricht,136,34
Mafra,72,0
Magdeburg,16,25
Mainz 05,301,256
Mallorca,375,225
Man. City,544,100
Man. Utd,495,135
Mantova,34,19
Marítimo,302,221
Marítimo II,126,0
Metz,312,237
Middlesbrough,52,55
Milan,437,182
Millwall,28,25
Mirandés,212,164
Modena,235,157
Monaco,418,178
Montpellier,381,228
Moreirense,465,186
Málaga,351,282
NAC Breda,290,188
NEC Nijmegen,167,245
Nacional,340,232
Nancy,330,270
Nantes,343,256
Napoli,484,136
Naval,32,266
Newcastle,269,242
Nice,380,230
Niort,232,193
Nocerina,23,35
Norwich City,165,147
Nottingham Forest,25,28
Novara,232,157
Numancia,402,225
Nuova Cosenza,67,73
Nîmes,314,230
Nürnberg,278,269
Olhanense,268,286
Olympique Lyonnais,445,163
Olympique Marseille,424,178
Orléans,115,127
Osasuna,368,254
PEC Zwolle,217,184
PSG,518,101
PSV,496,67
Paderborn,246,204
Padova,188,134
Palermo FC,318,207
Paris FC,133,94
Parma,281,233
Pau FC,25,19
Paços de Ferreira,358,211
Penafiel,520,256
Perugia,200,125
Pescara,317,275
Piacenza,56,59
Pisa,82,64
Ponferradina,237,147
Pordenone,56,32
Portimonense,284,278
Porto,505,46
Porto II,0,390
Portsmouth,18,36
Preston North End,20,38
Pro Vercelli,142,136
Queens Park Rangers,97,115
Quevilly,17,38
R. Sociedad,400,220
RB Leipzig,236,83
RKC Waalwijk,114,156
RM Castilla,70,49
Racing,133,190
Rayo Majadahonda,30,27
Rayo Vallecano,379,277
Reading,57,51
Real Betis,389,245
Real Jaén,32,26
Real Madrid,560,89
Real Murcia,119,104
Real Oviedo,223,103
Real Sport Clube,114,0
Real Sporting,409,241
Real Unión de Irún,31,25
Real Valladolid,383,254
Real Zaragoza,370,289
Recreativo,183,156
Red Star,66,93
Reggiana,20,26
Reggina,172,154
Reus Deportiu,70,94
Rio Ave,268,247
Roda JC,216,210
Rodez,45,36
Roma,478,151
Rot Weiss Ahlen,9,39
Rot-Weiß Oberhausen,49,49
Rotherham United,18,36
SC Freamunde,168,156
SC Freiburg,316,238
SC Telstar,68,170
SP. Covilhã,196,148
SPAL,129,123
SSC Bari,311,191
Sabadell,159,111
Saint-Étienne,372,222
Salernitana,208,160
Sampdoria,356,263
Sandhausen,204,195
Sassuolo,345,276
Schalke 04,344,218
Sedan,119,80
Sevilla,459,168
Sevilla At.,58,52
Sheffield United,43,58
Sheffield Wednesday,27,27
Siena,165,108
Sochaux,321,282
Southampton,235,220
Sparta Rotterdam,240,156
Spezia,305,176
Sporting Braga,414,129
Sporting Braga II,80,206
Sporting CP,428,104
Sporting CP II,46,172
Stade Brestois,375,225
Stade Lavallois,229,169
Stade Rennais,347,248
Stade de Reims,335,206
Stoke City,293,227
Strasbourg,172,115
Stuttgart,314,248
Sunderland,187,220
Swansea City,228,189
TOP Oss,291,216
Tenerife,335,203
Ternana Calcio,176,164
Tondela,296,200
Torino,374,245
Tottenham Hotspur,462,165
Toulouse,320,272
Tours,255,210
Trapani,173,101
Triestina ,61,52
Trofense,162,72
Troyes,353,209
TuS Koblenz,21,24
Twente 1965,325,169
UCAM Murcia,27,30
UD Logroñés,21,24
UD Oliveirense,454,172
UD Salamanca,54,60
Udinese,351,267
Union Berlin,369,174
União Madeira,240,21
União de Leiria,53,74
Utrecht,360,177
VVV Venlo,154,205
Valencia,429,183
Valenciennes,319,265
Vannes,49,52
Varese,173,110
Varzim,252,384
Venezia,118,85
VfL Bochum,302,239
VfL Osnabrück,51,81
VfR Aalen,70,67
Vicenza ,217,205
Villarreal,421,199
Villarreal B,95,77
Virtus Entella,183,141
Virtus Lanciano,126,93
Vitesse,347,188
Vitória Guimarães,313,208
Vitória Guimarães B,180,282
Vitória Setúbal,223,253
Vizela,84,0
Watford,183,138
Wehen Wiesbaden,16,31
Werder Bremen,276,270
West Bromwich Albion,212,245
West Ham,304,262
Wigan Athletic,88,112
Willem II,233,296
Wolfsburg,318,225
Wolves,145,157
Wycombe Wanderers,20,38
Würzburger Kickers,34,46
Xerez,103,124
